timestamp,person_id,event_type,severity,confidence,source,details,bbox,rule_triggered
7.114407512077295,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 4 times in window (current angle: 9.0°),"[134.25047302246094, 55.3238525390625, 638.830322265625, 363.2381591796875]",head_turn_frequency
9.218668888888889,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 4 times in window (current angle: 0.0°),"[85.29833984375, 26.5528564453125, 613.3504638671875, 362.83624267578125]",head_turn_frequency
11.322930265700483,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 4 times in window (current angle: 2.7°),"[104.00187683105469, 60.265472412109375, 501.34136962890625, 363.9224853515625]",head_turn_frequency
13.427191642512078,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 9 times in window (current angle: 37.8°),"[104.35861206054688, 77.09207153320312, 493.2970886230469, 363.57293701171875]",head_turn_frequency
17.03449685990338,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 18 times in window (current angle: 9.6°),"[119.25164794921875, 64.7261962890625, 513.3189086914062, 364.12225341796875]",head_turn_frequency
19.138758236714978,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 15 times in window (current angle: 5.8°),"[107.26724243164062, 63.68109130859375, 511.2326354980469, 363.15234375]",head_turn_frequency
21.24301961352657,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 15 times in window (current angle: 0.0°),"[89.94342041015625, 30.518463134765625, 523.6102294921875, 363.13958740234375]",head_turn_frequency
23.046672222222224,person_001,Phone Usage Detected,red,0.95,research_rules,Phone detected for 8 consecutive frames (0.8s),"[91.85693359375, 39.807525634765625, 526.5718994140625, 363.35015869140625]",phone_consecutive_frames
23.347280990338163,person_001,Phone Usage Detected,red,0.95,research_rules,Phone detected for 9 consecutive frames (0.9s),"[92.02484130859375, 38.477752685546875, 527.338623046875, 363.4323425292969]",phone_consecutive_frames
23.647889758454106,person_001,Phone Usage Detected,red,0.95,research_rules,Phone detected for 10 consecutive frames (1.0s),"[92.3856201171875, 37.943511962890625, 527.78466796875, 363.4080505371094]",phone_consecutive_frames
23.94849852657005,person_001,Phone Usage Detected,red,0.95,research_rules,Phone detected for 11 consecutive frames (1.1s),"[94.07197570800781, 36.6619873046875, 528.8544311523438, 363.4880676269531]",phone_consecutive_frames
24.24910729468599,person_001,Phone Usage Detected,red,0.95,research_rules,Phone detected for 12 consecutive frames (1.2s),"[93.09431457519531, 35.61761474609375, 527.9735717773438, 363.19989013671875]",phone_consecutive_frames
25.150933599033817,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 11 times in window (current angle: 5.4°),"[93.80230712890625, 39.00286865234375, 523.1055908203125, 363.2348937988281]",head_turn_frequency
27.255194975845413,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 7 times in window (current angle: 28.1°),"[98.31658935546875, 36.271209716796875, 517.3970947265625, 363.6632080078125]",head_turn_frequency
30.26128265700483,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 10 times in window (current angle: 9.3°),"[102.75599670410156, 35.069061279296875, 525.470703125, 363.43121337890625]",head_turn_frequency
32.36554403381643,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 10 times in window (current angle: 4.9°),"[103.41583251953125, 30.80804443359375, 528.1368408203125, 363.30029296875]",head_turn_frequency
34.46980541062802,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 10 times in window (current angle: 2.6°),"[109.05833435058594, 36.19818115234375, 527.684326171875, 363.3659973144531]",head_turn_frequency
36.57406678743961,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 10 times in window (current angle: 0.0°),"[1.20416259765625, 46.101470947265625, 636.6393432617188, 362.0245056152344]",head_turn_frequency
45.29172106280193,person_001,Frequent Head Turning,orange,0.8,research_rules,Head turned 4 times in window (current angle: 0.0°),"[1.0404052734375, 20.65606689453125, 513.82861328125, 362.8096008300781]",head_turn_frequency
